"","ImageNumber","ObjectNumber","TP53BP1_Count","rH2AX_Count","Intensity_DAPI","Intensity_TP53BP1","MeanIntensity_TP53BP1_foci","MeanIntensity_rH2AX_foci","sample","treat","replicate"
"1",1,1,1,4,184.174258693121,3.56813918962143,0.0231593810021877,0.0253073218813039,"FUSClone110","15min","R1"
"2",1,2,6,4,104.158419639105,3.63947512325831,0.0302219464177532,0.0279791649909587,"FUSClone110","15min","R1"
"3",1,3,3,7,217.912566467421,3.25072100758553,0.0282983649832507,0.0273222562493783,"FUSClone110","15min","R1"
"4",1,4,3,17,306.006943619344,6.01356531819329,0.0290743784315771,0.026345866635586,"FUSClone110","15min","R1"
"5",1,5,4,30,118.52422411344,3.17418175167404,0.0258773939334787,0.0291458409024833,"FUSClone110","15min","R1"
"6",1,6,2,17,173.539742597612,3.1653925573919,0.0239169907290488,0.0265984824784132,"FUSClone110","15min","R1"
"7",1,7,3,10,277.352011162788,4.15719847963192,0.0272666008332399,0.0250357192063454,"FUSClone110","15min","R1"
"8",1,8,0,27,164.757427782752,0.781719696242362,0,0.025995106811315,"FUSClone110","15min","R1"
"9",1,9,5,21,177.481117503485,3.26956589147449,0.0297690136090685,0.0283209778250079,"FUSClone110","15min","R1"
"10",1,10,5,15,182.716106480453,2.625329998089,0.0245671779476106,0.0278701645110583,"FUSClone110","15min","R1"
"11",1,11,1,24,145.830732153263,2.50807966827415,0.0338357913174799,0.0306639069678557,"FUSClone110","15min","R1"
"12",1,12,6,18,367.529748480767,7.15657287486829,0.0281165282358415,0.0257556734197708,"FUSClone110","15min","R1"
"13",1,13,11,30,191.508766880259,4.80994889698923,0.0330225673331788,0.0285232983680954,"FUSClone110","15min","R1"
"14",1,14,5,34,217.925750119612,4.05156025686301,0.0313987943716347,0.0300704489056794,"FUSClone110","15min","R1"
"15",1,15,6,23,215.562341374811,4.27751586423256,0.0327267086813374,0.0295427096206609,"FUSClone110","15min","R1"
"16",1,16,6,15,334.360388692934,5.15667967032641,0.0301859483847188,0.0264764389109563,"FUSClone110","15min","R1"
"17",1,17,4,20,218.363943468314,2.80846878048033,0.0263559641549364,0.0273629026464263,"FUSClone110","15min","R1"
"18",1,18,6,21,201.803754459368,4.15048450417817,0.0264308301990645,0.0265599526343559,"FUSClone110","15min","R1"
"19",1,19,5,11,339.729031382129,6.95490963431075,0.0331026169005781,0.0276240501073048,"FUSClone110","15min","R1"
"20",1,20,8,15,190.323293493129,5.41747161280364,0.0320999185624942,0.029454011226589,"FUSClone110","15min","R1"
"21",1,21,1,17,187.148272503866,3.83662167889997,0.043147936463356,0.0283489491417476,"FUSClone110","15min","R1"
"22",1,22,2,7,133.77358729532,2.6145723790396,0.029987792406852,0.026153897159245,"FUSClone110","15min","R1"
"23",1,23,2,12,98.0107275389601,3.03158619394526,0.0315983825363219,0.0268834008688146,"FUSClone110","15min","R1"
"24",1,24,6,20,171.347753587877,4.77691312530078,0.0311503465425361,0.0281610779670682,"FUSClone110","15min","R1"
"25",1,25,7,1,104.788510463899,4.17668424150907,0.0326223719554643,0.0211100089881155,"FUSClone110","15min","R1"
"26",1,26,1,16,97.8382700947113,1.64345770422369,0.0287174796685576,0.025616131698012,"FUSClone110","15min","R1"
"27",2,1,2,49,111.683345385361,3.74039829103276,0.0305752651765943,0.0299402964783144,"FUSClone110","15min","R1"
"28",2,2,6,10,217.691493798047,4.59385064872913,0.0321217672071523,0.0281921754073766,"FUSClone110","15min","R1"
"29",2,3,9,13,274.557092443341,6.66608687350526,0.0302128292105244,0.0265728737450446,"FUSClone110","15min","R1"
"30",2,4,7,17,99.9258110406809,5.8131991000846,0.036834400209653,0.0294691832507647,"FUSClone110","15min","R1"
"31",2,5,4,17,154.694026824785,3.93109028087929,0.028448652990114,0.0253263792140177,"FUSClone110","15min","R1"
"32",2,6,9,31,189.512597010704,6.7036698339507,0.0323340793972181,0.0286205709984146,"FUSClone110","15min","R1"
"33",2,7,6,37,234.507027463755,4.88661024649628,0.0323089119135306,0.0327793571770351,"FUSClone110","15min","R1"
"34",2,8,11,45,349.566217453452,8.31960027129389,0.029520477080371,0.0288903390419465,"FUSClone110","15min","R1"
"35",2,9,9,12,138.043961837422,6.38492413773201,0.033761221253185,0.0269014769456661,"FUSClone110","15min","R1"
"36",2,10,5,36,243.058030740125,3.87689024489373,0.031814660121207,0.0303213153306492,"FUSClone110","15min","R1"
"37",2,11,5,27,194.535699233413,6.8686809039209,0.0261522019650279,0.0280050867221834,"FUSClone110","15min","R1"
"38",2,12,7,32,240.968826539349,3.30106051987968,0.0266946779164885,0.0295271608037524,"FUSClone110","15min","R1"
"39",2,13,10,15,207.749951057835,5.78779281140305,0.0283273587730669,0.0283126391741177,"FUSClone110","15min","R1"
"40",2,14,4,27,300.049409555038,4.09924471075647,0.0279383156914264,0.0287900201834755,"FUSClone110","15min","R1"
"41",2,15,9,30,272.436546144076,5.23306632624008,0.0317738855183716,0.0309220200873531,"FUSClone110","15min","R1"
"42",2,16,6,15,169.936065205373,4.67597469454631,0.0300487228992602,0.0293707033154597,"FUSClone110","15min","R1"
"43",2,17,11,30,255.400076966034,5.85365076875314,0.0337310763455661,0.0297913960660608,"FUSClone110","15min","R1"
"44",2,18,3,24,178.180453786394,4.1787594743073,0.0247547113336623,0.0309562578554589,"FUSClone110","15min","R1"
"45",2,19,4,44,407.640300126979,4.72339974530041,0.0252803845020632,0.0301334907034164,"FUSClone110","15min","R1"
