ERD	MRD	LRD
114784	114784	204962
11146	204962	79739
63976	23254	5142
23254	84871	23266
10207	1600	1806
9659	101926964	107985456
653513	255631	259266
223	10390	84251
777	26052	105378785
55061	63923	57554
100303453	777	5733
27185	353299	100852410
55083	101929093	257194
84966	140609	64123
127707	56776	101927560
101929406	6000	101927587
2899	64754	58155
163782	55966	100873932
149233	126755	118427
7049	7799	10451
676	84970	54953
23285	54558	343450
284697	79656	3075
3752	1996	23418
54665	199920	163486
10717	731	101927139
51592	55277	5301
51463	9829	9406
25832	57554	406962
100996763	34	149281
653513	4438	100422839
400794	81849	100423010
84944	10026	102724919
85397	26289	5132
2494	149047	5743
5362	5567	103752588
26750	58511	100616363
56950	100505741	360023
5784	117178	400955
79573	84146	80731
100287814	148867	101929378
148641	6847	11227
128178	10100	90134
116228	2312	80034
3192	8490	2066
84288	4009	79582
267002	6258	6546
140625	29922	7444
440556	10560	55120
100422968	6403	55777
105376673	7292	9595
65122	284525	57282
400735	339416	1803
343071	9910	64135
441871	7143	101929570
101927876	127665	2888
693137	83872	22837
2709	56956	6328
127534	26750	6326
2707	5629	79809
100422898	100873924	6323
339442	88	101929680
105378656	4548	102724058
115209	64388	6335
100422902	8564	6332
100422946	127069	91404
54596	284661	151126
253152	10630	57703
646817	105378712	101669767
388649	105378744	10477
84432	8613	101927156
643160	5563	3676
440602	84938	91752
3744	55635	101927196
100873995	101927220	10203
643355	55631	104355152
26191	9295	51454
100287722	81573	5334
440603	5876	1373
64858	692085	22807
101928846	26805	57471
204851	26804	2641
56944	127247	2191
148281	102466995	25801
51179	148418	100337591
3284	80135	2591
105371242	2787	100302172
2702	1486	100616213
2703	439927	100616305
440699	284695	401024
4259	440594	7035
440700	729987	693146
54499	7412	10314
7371	2135	29034
100500832	104355286	100313771
387597	79961	102725079
4653	1117	100616472
80896	7252	100616267
105372894	4803	5915
164127	339400	5274
101927553	388698	79750
84886	49860	152100
101927604	909	10777
64801	911	6091
375061	910	285220
100302132	913	4045
7257	127385	51319
23040	325	22871
238	5999	57633
57448	1805	9779
5212	8548	152098
57730	57821	27303
9448	2153	84100
117583	6402	131544
116987	6401	214
7837	388714	868
23175	2327	5352
114818	100628315	57047
79623	406996	5359
98	100422882	165679
6869	406977	6476
9451	8995	101928405
22934	101928673	590
375248	9588	646168
731220	101928696	27333
102724691	27101	51555
80146	63931	344901
55627	9674	106480738
114793	730102	152137
8828	400799	2257
54891	2752	100873986
2825	127670	64343
57683	388719	406916
646324	116461	100500877
5270	101929631	389136
6672	127018	100846978
151171	3142	84864
101929567	2271	200959
100506299	148823	131368
3398	81470	50852
100422862	81469	101926903
100422996	441933	389158
103752586	343169	100507524
10678	26188	101243545
100847087	343563	131149
101927533	127068	22865
100846995	127077	693136
344167	403244	102465858
200523	403239	100505547
101928371	401994	647309
101928403	4249	257313
1329	25780	152138
10120	4133	80333
728537	54221	2560
150577	23040	8671
164832	23301	9508
200407	51542	83478
84417	23233	2895
100288695	344148	285555
8685	130940	255743
101929926	114880	27123
9394	116093	285419
389033	5077	100874047
101927924	57624	83894
100131320	92737	442117
84084	9759	9353
440905	101927554	133015
728378	7260	5099
285103	55821	116984
91409	728597	2044
80097	339789	1060
112714	100506457	55236
84317	51594	10886
92856	1653	84779
26469	4052	5602
646802	51232	285513
653269	100128590	6622
150527	79823	22915
55997	286749	658
653781	11036	5530
100132708	100132215	55024
4719	51057	101929468
1933	4211	79807
26798	100507073	93627
619569	1768	64579
101669764	3554	9348
93349	8808	11107
116933	8809	641364
152110	389015	101927636
23272	6549	101927849
66000	11159	7092
79782	54520	100505893
3708	554226	407000
9497	81615	102465859
22906	130013	359822
776	339745	100144602
132200	11249	100302177
9223	151531	101927237
26018	554201	26228
151987	8502	550112
2047	10010	2798
53833	10213	9407
51208	27347	339967
116931	4036	644759
55207	140469	3346
9695	1123	286828
100616334	50940	401137
8320	50940	54959
885	129831	260436
131375	7273	1448
285331	2487	85438
100873983	10787	26952
60675	51454	644248
55096	1281	84103
729627	1290	101929448
389151	23671	101929529
389152	57181	101929577
60467	57520	9255
6596	130132	100507096
100873945	391475	100126354
344657	130749	7368
344658	285175	693162
100128164	55619	133022
7095	80309	105377390
116832	9320	105377391
133060	101927362	641365
100506564	129787	23657
4299	105373354	2996
8470	101060385	2994
5158	730811	2993
101928521	246243	5458
53407	100506054	105377480
100507266	6201	115827
103695434	78989	23194
132884	28951	5144
2121	100422986	101929423
389197	101926966	102546227
23216	103752554	102467213
22998	10408	64839
57482	4613	51334
132949	104797537	28965
6731	100616307	337876
5431	130497	285671
255130	338	441094
11275	105374449	7025
56977	100616136	83989
133121	25940	79772
3660	11037	133482
201973	3973	1946
2180	106660609	814
101928877	100616473	100505678
57587	5013	9315
83891	100169989	100873948
256309	4190	57556
521	7360	101927460
4636	100616464	57528
84179	729348	643401
10336	100873998	105374698
85013	101927701	25859
55646	8802	1350
166793	5343	109623460
27065	7850	100500825
104472519	9173	100313887
4487	8807	134187
1400	100616157	9366
100616201	80255	85480
100287144	100616208	134430
100287178	408029	134429
100287205	100313824	10973
644414	100500878	54511
55300	100847069	22999
55300	3176	101928516
29063	105373635	101927314
29945	101929260	101927768
101928776	101929282	222537
5471	100996579	5570
10606	10716	154215
132946	101927027	79747
84525	8575	442213
6691	494513	3062
5978	51661	1310
84273	65977	134728
3490	100506866	55023
105377307	101927055	594
3184	54431	114792
5188	142679	253714
100505685	129401	221322
166655	165215	3298
201931	151112	2911
728175	100302219	134957
102723766	100616324	27283
105377586	100500837	389400
836	100422908	55603
79682	8436	101928770
643036	92935	100302164
100500818	66037	100422951
100616111	348751	57515
391723	130752	387103
291	22868	693173
55805	100422993	100616180
353322	100423002	10981
55325	151278	101928661
441054	440934	9734
105377590	130888	9863
27295	100616397	222223
4651	100616493	219578
1501	100423043	100874100
10788	100616360	93986
4437	101928111	3751
26999	200844	93664
6586	29970	3382
51617	100505385	100128317
91522	7068	781
9509	27303	10371
153478	55799	101927378
6389	26059	223117
54463	5793	105375380
101929544	23024	2913
23037	25945	55607
7690	100507291	101928036
167359	5948	29969
56477	64084	102724386
4214	285195	104355291
256006	83893	56311
411	100288428	105375475
29958	101927394	23553
256987	201595	60412
9765	6769	1129
5924	55129	349160
65983	93973	54664
23105	57408	221806
26249	101929238	7291
56114	100507098	222894
56113	151647	399670
56112	1295	100874021
56104	25890	3082
56111	50939	101927356
56103	57337	219557
56110	152225	54329
56102	100302640	401397
56109	56987	100500896
56108	26137	51691
8641	152404	168433
9708	9515	378925
55568	256076	50833
23367	2047	6561
25929	349565	6677
102724404	201651	105375483
8728	23007	574443
9685	152078	3174
3937	654502	3084
30820	3840	286183
101928033	2122	2138
80315	102724550	115111
101928176	5290	157680
389257	59345	9699
133957	23200	101927487
101929524	55214	114788
401177	9076	389668
102723526	131920	9312
648987	3556	441355
389289	344905	51050
153684	100873977	101926978
3157	100423038	100192378
64417	58515	79776
11082	790952	3574
3003	100874237	646486
133383	711	3612
166968	100500875	54714
65056	100506994	286144
51301	57415	23414
104326191	26339	55074
101929109	402135	105375700
2151	56650	84955
23743	2838	93035
84654	1371	55638
167555	10342	27012
340120	344595	101927459
102524628	84692	7227
501	101929607	100859921
100302134	100131117	83690
100126343	101929754	5569
100302181	100616166	101927003
79685	152405	51101
9421	7348	347051
100422950	2960	79752
100302284	101926983	102467005
10826	100847043	693184
100616306	942	100126309
9337	846	137735
3702	5947	7201
408263	13	56943
348938	56670	9166
134353	100874036	100302225
2299	100500803	114569
133874	677767	102466162
3779	27094	158038
285593	51193	80036
91272	55669	116443
105377736	101929152	101929467
101928136	10686	7306
133491	9079	286343
57396	8821	101929620
27244	987	26280
285782	55351	203447
9749	64151	5063
10090	10891	10178
6196	84708	619455
340156	374	158584
6239	8654	6906
154007	132320	139221
654	2891	1287
100526836	55714	3358
2651	2195	90293
81853	56606	474343
9247	9948	54466
221692	116449	56157
221656	101929071	8471
9856	101929095	8471
11120	27146	101928358
860	254251	827
246269	55296	677816
2309	57620	100313838
84071	55286	100302144
8838	10463	100302251
153918	23142	100302153
9590	6443	100302222
57621	441024	554212
80129	55589	186
26034	150159	11254
57492	133308	203413
39	1062	100500869
113402	80216	340578
100874353	817	139170
154386	79642	139741
6745	51778	645188
83732	54532	64648
1832	101927007	5592
81567	4085	105755953
7020	27152	57512
106660610	132321	101929052
100846998	57484	11130
347744	3600	102724719
55003	4306	1740
51522	285423	63982
4117	166614	196294
221711	54798	53942
102216342	56034	2893
401236	2743	282763
7913	59350	203859
51567	1363	2620
55856	7092	105376606
81688	11199	26610
11118	285441	2915
10385	642280	7299
11119	100423011	50507
54718	85460	101929222
10384	101929123	7225
696	5860	80310
493812	645104	102723895
10473	51056	3043
105374988	80306	3045
29777	54876	103344929
105374989	389206	3047
222643	339977	3048
222642	105377652	3046
10930	132671	79339
221443	100873939	79345
4800	101928851	390058
221442	2921	390059
387111	10895	57084
285753	2920	102723378
221262	255324	2188
51696	2069	143662
167838	152559	105369423
10370	8404	23682
645434	1834	100423040
84946	1758	1075
55005	64116	100873989
79624	4790	100616186
154043	56898	100302228
100616154	132720	100500823
6648	55435	414301
100129518	92610	100506742
6648	401152	643733
9589	2169	837
6950	101926918	838
677806	645513	834
677812	100996694	114769
29074	79931	440068
154197	27309	59082
51660	729558	399947
100302141	10586	101927653
100500857	5356	100506869
11116	2244	6660
9586	2243	84216
1124	2266	338811
101928168	101928151	29953
23080	100506085	25834
313	4543	56899
83698	57451	85004
27044	170690	5800
653857	1501	5288
5799	79925	53919
221937	79993	28234
56164	10283	6579
117	55255	3375
5137	285600	55711
107	153643	4753
641977	5066	6857
2887	4163	79611
441242	101927379	8499
644619	728586	84125
441250	153768	89869
91584	101927115	93661
100507421	285692	338821
23145	441061	79912
57180	1004	121227
155435	4883	283392
64327	5618	552889
56975	133690	105369860
100288524	253260	100616133
256227	2533	102724663
100506178	735	55117
340277	5562	144448
9603	133558	8092
3181	2690	160419
11335	3672	105369891
3198	3673	196472
100506311	4724	5101
3199	91942	2262
222171	285672	26960
2692	22987	7223
23658	8622	27253
100874264	8622	9358
3484	6902	57511
3486	8546	81550
64940	9522	100874064
101929736	23635	100874086
100616331	83734	100885781
723809	7518	1602
5078	1462	100874222
23165	10085	100874137
647087	84059	642345
26266	83989	105370306
643641	79772	4081
401431	4012	103695431
155066	167410	400121
7516	23262	10631
3638	1176	100874087
338436	206338	100874145
2020	51397	338862
285888	6643	1910
100506302	28966	10253
140545	57507	84189
406945	84466	100616182
105375614	133619	26050
729732	644873	101930749
55636	56990	100861553
619279	202374	105616982
79648	1809	105370308
389610	153469	407975
4482	9832	406952
94137	102546294	406953
286046	3360	406979
23514	2890	406982
5591	10827	406980
101929268	26762	407048
389658	1879	100847092
9821	23120	64067
5862	101929081	100506412
5150	23379	161357
28957	6897	27133
7163	3575	4857
83940	100506406	728755
9788	133688	5587
9897	1601	145581
286053	112267931	23768
7038	101926940	101927062
6503	5734	102724890
6482	23548	101927081
83696	6167	100423019
203062	619564	100505967
575	84674	100422830
102465861	730	161198
55326	4338	140801
100616348	257396	100507466
100616372	10468	100616293
100652791	101928539	1006
1672	1161	80816
1671	643155	8715
1669	285668	220164
449491	101928651	100302131
449492	100132916	1825
1667	101928769	101927900
170949	23440	400655
728358	728769	100505817
1668	105379054	9534
724068	1404	100101266
1670	55781	101927973
101929191	285704	406912
203074	503569	11096
100422982	54826	100616243
203076	90355	
83595	64848	
54984	1036	
100302166	9140	
693183	644100	
101929269	5480	
392196	613212	
392197	105379164	
377630	100846991	
6570	6690	
526	117156	
11178	389336	
100874051	153218	
1052	84651	
100847056	643394	
101927612	81545	
11236	105378238	
102466200	4238	
4715	153743	
100616255	91937	
100616221	84868	
157381	102557615	
137209	2762	
105375744	57128	
6713	2162	
102466865	54901	
8840	401237	
10397	1769	
389690	23500	
100616268	8464	
619434	101928516	
54796	29940	
169792	7402	
7763	2099	
445815	6581	
11217	5071	
158297	10846	
55667	3662	
80173	55770	
7010	10667	
9615	285780	
158471	3720	
10507	84062	
100129066	154141	
4920	51473	
23196	2740	
5253	8645	
138639	83795	
85365	221458	
340512	57497	
8518	860	
114299	221395	
55755	55227	
100133077	100874282	
774	90523	
10670	653	
54801	81578	
677776	5558	
123	56479	
6194	1303	
340485	27145	
253650	4646	
100507540	154313	
79670	8732	
392360	6492	
286234	389421	
23552	221294	
10912	1300	
100847045	222546	
10952	222553	
5887	84870	
9314	81847	
10880	5167	
10881	26002	
406939	100507308	
9758	27115	
25975	4829	
100996279	51534	
347527	57211	
100129464	23345	
171483	4018	
6907	4216	
357	56895	
55841	168002	
8481	64094	
2824	101929523	
30011	253769	
5251	285766	
80311	56940	
5422	135458	
8573	94234	
54954	2295	
65267	102466720	
1831	2296	
139818	100500900	
3597	102466866	
23157	100847034	
79576	51000	
101928969	729177	
83692	5617	
8908	140767	
414	55776	
415	89822	
416	100505635	
25878	4337	
4935	105375050	
100288814	732253	
5634	693171	
51284	221400	
51311	7941	
170082	100287718	
9367	4224	
6399	101927189	
10597	100507381	
100873942	100423005	
254158	1347	
1968	55754	
677773	3354	
27197	57150	
6757	63914	
90121	1268	
2245	100113403	
54552	23270	
1947	7259	
64219	222545	
84707	55862	
56849	9729	
51186	387104	
27018	352999	
100874122	1490	
84443	100616191	
5631	100507254	
7319	8417	
55922	134860	
768218	83551	
347454	319100	
6170	9038	
26779	9288	
65109	9287	
7737	4602	
4694	693126	
158798	113115	
158800	9774	
104797536	6582	
84528	80350	
3149	105378137	
6251	101929420	
83938	101929460	
3422	102724357	
10531	101929484	
100507034	101929504	
4360	7058	
56243	387263	
56288	27241	
2894	221935	
60495	404744	
5791	154664	
282973	26053	
23185	9863	
105	27445	
101927964	53616	
5588	100874100	
9576	55610	
5305	5649	
51322	375612	
220929	9732	
219771	2918	
5979	26047	
221002	1804	
8031	729920	
653145	100506025	
221037	8701	
23411	646588	
26091	168667	
80195	9844	
3257	23242	
6934	1956	
4892	100507500	
259217	81552	
2263	346288	
92565	2631	
8038	102723427	
118611	57157	
101927762	2770	
23560	346562	
91734	948	
55853	9723	
22884	5244	
399706	5243	
5214	154661	
1316	79846	
105376365	5218	
102464829	253012	
653567	799	
574445	10282	
25805	1780	
100507605	375611	
283080	3475	
119180	154743	
105376480	22797	
105376490	7982	
100505583	93655	
100847014	7472	
55454	79974	
53828	10447	
3185	5803	
100287932	57180	
4477	155435	
195977	25928	
643650	55536	
728113	100302113	
728643	100861514	
5540	79020	
2662	5683	
100996758	100130988	
105379861	23480	
644054	55915	
414224	360132	
100302150	349075	
56521	51373	
693191	5723	
219348	908	
311	677803	
387695	25870	
92211	5260	
340745	51142	
442911	7697	
159686	10793	
8036	51351	
100313921	109504726	
3026	105375342	
840	100505881	
196047	54677	
2018	55972	
101927889	10926	
1755	442523	
399814	26872	
375940	261729	
51363	101927497	
101410540	54809	
101101772	219285	
119467	724023	
4288	574442	
55844	1278	
664	101927870	
23310	286006	
89797	101928012	
390110	64418	
4684	136991	
2900	51384	
84623	101928333	
50863	767558	
10522	136319	
51144	340307	
221120	154761	
2132	9747	
90139	100132707	
56981	22976	
22941	6469	
79731	285889	
54970	6101	
23365	100616530	
7007	6788	
6653	9699	
57476	51059	
100128242	8658	
83700	286097	
283232	101929315	
100616426	148	
100874014	7486	
7490	23514	
51352	9705	
729799	114786	
100507300	57094	
387763	81796	
84680	286190	
3732	51110	
9537	23643	
221122	100996348	
57586	8767	
101928812	734	
399886	1666	
100874198	64168	
220070	100127983	
100500844	642924	
399923	26166	
1717	55074	
55191	169026	
102466728	2131	
440050	5168	
57830	6873	
3846	64798	
101928896	7373	
27314	27085	
101928823	137196	
387810	23167	
255239	3786	
1813	169044	
4837	83696	
101928940	26281	
54494	10	
10179	102467222	
25996	286114	
101929227	6781	
219899	10863	
6309	8756	
100616319	100313884	
101929427	101929341	
101929653	2831	
101929637	64321	
112936	105375843	
29087	195814	
27034	442388	
112937	101929759	
4842	101926892	
2904	23471	
121512	105375903	
56899	377677	
160777	759	
105370027	761	
8076	760	
57494	101929709	
10219	4683	
100287314	793	
636	101937451	
144165	169200	
115749	55529	
