,Data Set,Target,Sample,Ctrl,Relative Quantity,Relative Quantity SD,Corrected Relative Quantity SD,Relative Quantity SEM,Corrected Relative Quantity SEM,Unscaled Expression,Unscaled Expression SD,Corrected Unscaled Expression SD,Unscaled Expression SEM,Corrected Unscaled Expression SEM,Expression,Expression SD,Corrected Expression SD,Expression SEM,Corrected Expression SEM,Wells,Mean Cq,Cq SD,Cq SEM
,Multiple,53BP1,FUSClone110,,1.02390607719558,0.171956557556362,0.171956557556362,0.0405305493058662,0.0405305493058662,0.89020417117885,0.200011009021065,0.200011009021065,0.0471430469302529,0.0471430469302529,0.89020417117885,0.200011009021065,0.200011009021065,0.0471430469302529,0.0471430469302529,18,22.8103423142032,0.242288700458132,0.0571079943662737
,Multiple,53BP1,GUSClone110,,1.4607466060689,0.187526184517539,0.187526184517539,0.0442003455741304,0.0442003455741304,1.46888323062244,0.22819593896784,0.22819593896784,0.0537862986277971,0.0537862986277971,1.46888323062244,0.22819593896784,0.22819593896784,0.0537862986277971,0.0537862986277971,18,22.2977197600382,0.185208779754317,0.0436541280331878
,Multiple,53BP1,GUSU2OS,*,1,0.145144290002461,0.145144290002461,0.0342108372370824,0.0342108372370824,1,0.164288442188429,0.164288442188429,0.0387231571806708,0.0387231571806708,1,0.164288442188429,0.164288442188429,0.0387231571806708,0.0387231571806708,18,22.8444256973353,0.209398947399901,0.0493558052265983
,Multiple,ACTIN,FUSClone110,,1.18524483045105,0.329261015143072,0.329261015143072,0.0645733977415344,0.0645733977415344,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26,13.3780671394765,0.400780683872887,0.078599558759189
,Multiple,ACTIN,GUSClone110,,0.924650486225048,0.111931995532818,0.111931995532818,0.0204358929532973,0.0204358929532973,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30,13.7362721986464,0.174643000006706,0.0318853035380159
,Multiple,ACTIN,GUSU2OS,*,1,0.10959541054471,0.10959541054471,0.020009292851459,0.020009292851459,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30,13.623252240114,0.158112755297043,0.0288673075684949
,Multiple,ATF6,FUSClone110,,0.787295512883246,0.083850268300454,0.083850268300454,0.0342317286885966,0.0342317286885966,0.684490272231467,0.125506078755706,0.125506078755706,0.0512376420948398,0.0512376420948398,0.684490272231467,0.125506078755706,0.125506078755706,0.0512376420948398,0.0512376420948398,6,24.0742052644523,0.153653062001147,0.0627285998865061
,Multiple,ATF6,GUSClone110,,0.915857713794031,0.0653743820580818,0.0653743820580818,0.0266889797153433,0.0266889797153433,0.920959208009824,0.103987678929283,0.103987678929283,0.042452792152185,0.042452792152185,0.920959208009824,0.103987678929283,0.103987678929283,0.042452792152185,0.042452792152185,6,23.8559870392846,0.102980294183105,0.0420415290517182
,Multiple,ATF6,GUSU2OS,*,1,0.153568834058452,0.153568834058452,0.0626942139728917,0.0626942139728917,1,0.171776640176872,0.171776640176872,0.0701275196938342,0.0701275196938342,1,0.171776640176872,0.171776640176872,0.0701275196938342,0.0701275196938342,6,23.7291824253083,0.221552995331229,0.0904486315911225
,Multiple,BCL2,FUSClone110,,0.777707954083544,0.0633191573225413,0.0633191573225413,0.0158297893306353,0.0158297893306353,0.676154659205032,0.114957189364777,0.114957189364777,0.0287392973411942,0.0287392973411942,0.676154659205032,0.114957189364777,0.114957189364777,0.0287392973411942,0.0287392973411942,16,25.5464593981658,0.117460846044896,0.0293652115112241
,Multiple,BCL2,GUSClone110,,0.544682840987343,0.0539492324887313,0.0539492324887313,0.0127159560441972,0.0127159560441972,0.547716823581897,0.0723822755395603,0.0723822755395603,0.0170606659572454,0.0170606659572454,0.547716823581897,0.0723822755395603,0.0723822755395603,0.0170606659572454,0.0170606659572454,18,26.0602714733104,0.142894698188348,0.0336806033615287
,Multiple,BCL2,GUSU2OS,*,1,0.0920707206235113,0.0920707206235113,0.0217012769672056,0.0217012769672056,1,0.120003520417173,0.120003520417173,0.0282851010177472,0.0282851010177472,1,0.120003520417173,0.120003520417173,0.0282851010177472,0.0282851010177472,18,25.183759797442,0.132829972054613,0.0313083246615455
