"","ensgene","symbol","entrez","W_1","W_2","W_3","C_1","C_2","C_3","F_1","F_2","F_3","WTvsKOlog2FoldChange","WTvsKOpadj","REvsKOlog2FoldChange","REvsKOpadj","WTvsRElog2FoldChange","WTvsREpadj","WT_KO_sign","RE_KO_sign","diff"
"1","ENSG00000001617","SEMA3F",6405,1794.73981107393,2011.9007379574,2207.74996447082,635.965346164841,678.34225958878,763.964398994523,1236.43369722606,1333.65736071208,1437.86652227765,1.46690871437864,4.13266472234418e-21,0.905485504455638,6.16401144281742e-08,0.561423209923006,0.0017364049649409,1,1,0
"2","ENSG00000002079","MYH16",NA,6.75984862928032,4.93839160028816,7.30352067641577,40.1662323893584,36.2545792747871,174.77746682033,18.0063159790202,13.4810130324686,24.387152684492,-2.24521354734007,4.9419211295155e-08,-1.47265080148326,0.00186843522860118,-0.77256274585681,0.0834604265674447,-1,-1,0
"3","ENSG00000005486","RHBDD2",57414,1164.04593396207,1304.72306079613,1044.40345672745,2304.20286473619,1834.67252487936,1355.34978987086,1285.4508907245,1200.77308939203,1162.77943999658,-0.600028834750461,0.012924348115012,-0.549197424283328,0.0318104498400282,-0.0508314104671325,0.924111594565614,-1,-1,0
"4","ENSG00000006047","YBX2",51087,367.059780569921,402.972754583514,451.774921841147,235.641896684236,191.767643006111,189.067448384256,527.184917830203,489.168187178148,570.659372817113,0.931601325118575,9.94250183839232e-07,1.292229458511,1.33529500317389e-12,-0.360628133392423,0.129929754463516,1,1,0
"5","ENSG00000006534","ALDH3B1",221,2583.61414611094,2861.30409320696,2777.42457723125,2199.77066052386,1966.33389171938,1425.70046833942,3850.35056684716,3713.05616094279,3586.86241683509,0.526136646721957,0.0144029521190398,0.942506522547884,6.71460870294736e-07,-0.416369875825927,0.0727552937729679,1,1,0
"6","ENSG00000007171","NOS2",4843,47.3189404049622,49.3839160028816,56.3414452180645,18.7442417817006,13.3569502591321,15.3892109149976,63.0221059265708,59.7016291437897,49.7497914763637,1.35278537800635,4.13964984870076e-05,1.50634094410893,5.02485501088985e-06,-0.153555566102573,0.807064701276012,1,1,0
"7","ENSG00000010278","CD9",928,4057.93713215698,3863.79758806546,4233.95527212788,2878.57998790402,2649.44649068642,2726.08879065672,3298.15687682387,3750.61041153324,3891.21408233755,0.541334279668581,0.000403989142645922,0.394007234336946,0.0215646870118725,0.147327045331636,0.54537789225314,1,1,0
"8","ENSG00000012232","EXTL3",2137,3168.34105254369,3281.06737923145,3235.45965965219,1843.63006667155,2295.48730881942,1957.72747425791,3491.22459815448,3268.18273087133,2670.88096200557,0.637614359178155,0.00043471584959672,0.600863970784165,0.00136015712031962,0.0367503883939903,0.933001412895277,1,1,0
"9","ENSG00000012779","ALOX5",240,260.93015709022,268.648503055676,251.449783288029,479.317039846343,482.75834508006,538.622382024916,246.086318379943,226.288433045009,252.650901811337,-0.902237142720378,7.15932114281313e-08,-1.00457308477646,2.25910362961265e-09,0.102335942056079,0.776870823431122,-1,-1,0
"10","ENSG00000018510","AGPS",8540,2783.02968067471,2679.57128231636,2424.76886457004,1792.75283897836,1792.69353835066,1944.53672204505,2495.87546486975,2603.76137427109,2553.82262912,0.497549140521008,0.000944809564722322,0.455002782955218,0.00392638414684763,0.0425463575657895,0.902436986388649,1,1,0
"11","ENSG00000019169","MARCO",8685,121.001290464118,131.361216567665,156.504014494624,325.346482353803,267.139005182642,217.647411512109,60.0210532634008,77.0343601855351,77.0634024829948,-0.907755204241616,0.000224058698167108,-1.73824717586987,5.81283481020067e-14,0.830491971628252,0.00155616541829016,-1,-1,0
"12","ENSG00000020181","ADGRA2",25960,727.359712510562,877.058348211177,976.585050446451,364.173840330183,529.507670987022,503.447042790635,896.314395400118,1107.36892766707,1233.01443972792,0.816763796947277,0.000333996864676389,1.12187719562237,2.03915400356624e-07,-0.305113398675091,0.334650458386369,1,1,0
"13","ENSG00000020577","SAMD4A",23034,4781.24093548997,5589.27161320614,4233.95527212788,2065.883219226,3612.10097721958,2844.80556057241,4445.55934504255,4939.82834689744,3720.5040135461,0.714202203669371,0.00415538313357137,0.570283825197783,0.0381002650198552,0.143918378471589,0.755614778311715,1,1,0
"14","ENSG00000026751","SLAMF7",57823,73.6823500591555,64.1990908037461,74.0785668607885,167.359301622327,172.686285493065,139.60212758605,79.0277201301443,76.0714306832159,36.0929859730482,-1.03074288126209,0.000540599695894978,-1.1580457233799,0.000101103989869049,0.127302842117812,0.839187398712177,-1,-1,0
"15","ENSG00000028528","SNX1",6642,3254.19113013555,3148.71848434373,3127.99356969921,3980.47362978542,4033.79897825789,3994.59946179295,3150.10494544082,3186.3337231742,3141.06526576257,-0.325794280878059,0.0238728089485706,-0.333850862511596,0.023572861449946,0.00805658163353712,0.98271770171115,-1,-1,0
"16","ENSG00000035681","NSMAF",8439,1040.34070404624,974.838501896883,945.284247547527,669.437206489306,690.74514197226,645.247629078827,1073.37650252715,962.929502319189,902.324649326205,0.542064409635813,0.00111675007281243,0.530947450603029,0.00193909934494282,0.0111169590327842,0.980749384221519,1,1,0
"17","ENSG00000036054","TBC1D23",55773,1389.82487818003,1236.57325671216,1546.25966320688,570.360499928889,615.373779795729,766.162857696666,792.27790307689,982.188092365572,976.46159348706,1.03450806375084,3.86145784471223e-08,0.466032028887863,0.0485385976071825,0.568476034862978,0.00756759178100665,1,1,0
"18","ENSG00000039139","DNAH5",1767,46.6429555420342,40.4948111223629,60.5148856045878,87.0268368436098,99.2230590678384,118.716769915696,53.0185970493373,39.4801095950867,37.0684720804279,-0.924446041776634,0.00237162746427618,-1.07995217178267,0.000386121010088234,0.155506130006037,0.797200804668326,-1,-1,0
"19","ENSG00000041802","LSG1",55341,1366.84139284048,1253.36378815314,1107.0050625253,855.540749893334,837.671594822713,688.117573770606,1632.5726487645,1387.58141284195,1173.50978717776,0.610380903407281,0.00386003620012973,0.770474763233253,0.000156643647707528,-0.160093859825972,0.649798470725843,1,1,0
"20","ENSG00000043039","BARX2",8538,24.3354550654092,25.6796363214984,20.8672019326165,88.3657112565884,69.6469549226174,116.518311213553,39.0136846212105,40.4430390974059,35.1174998656685,-1.64652937679194,4.56522262624722e-08,-1.0876164282518,0.000834797186242748,-0.558912948540141,0.171817589284277,-1,-1,0
"21","ENSG00000050555","LAMC3",10319,855.796836466889,896.81191461233,953.631128320573,578.393746406761,516.15072072789,546.316987482414,936.328430909052,892.635648649888,760.879163756151,0.692755403904358,4.46240201126529e-05,0.632329084761605,0.000338238859372159,0.0604263191427526,0.876749051520182,1,1,0
"22","ENSG00000051620","HEBP2",23593,1727.14132478112,1683.99153569826,1630.77183103398,3044.60041511337,2182.90729949245,2024.78046467325,1738.60984286318,1714.01451412816,1681.73804912257,-0.495820297604406,0.0227430205532109,-0.471131821740657,0.038958235533369,-0.0246884758637483,0.960824641240994,-1,-1,0
"23","ENSG00000053747","LAMA3",3909,4.73189404049622,8.88910488051869,0,46.8606044542514,42.9330544043532,67.0529904153466,6.00210532634008,5.77757701391513,4.8774305368984,-2.34981958646609,3.14789855887602e-08,-2.21020622765509,3.64362756409364e-07,-0.139613358811001,0.881621700634649,-1,-1,0
"24","ENSG00000054983","GALC",2581,506.312662333096,540.260041071525,563.414452180645,116.482073929139,129.753231088712,125.312146022123,220.077195299136,221.473785533413,202.901110334974,2.00492243070971,9.31277156600328e-33,0.741571452882235,0.000210396041470661,1.26335097782748,1.79611723104597e-14,1,1,0
