UNIPROT,Gene,PSMs_bio3,Peptides_bio3,Unique Peptides_bio3,PSMs_bio2,Peptides_bio2,Unique Peptides_bio2,PSMs_bio1,Peptides_bio1,Unique Peptides_bio1
P35637,FUS,111,18,16,51,14,10,106,15,13
P21695,GPD1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q9UNE7,STUB1,NA,NA,NA,NA,NA,NA,NA,NA,NA
O75190,DNAJB6,NA,NA,NA,NA,NA,NA,NA,NA,NA
P22307,SCP2,NA,NA,NA,NA,NA,NA,NA,NA,NA
P79522,PRR3,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q9GZR7,DDX24,NA,NA,NA,2,2,2,NA,NA,NA
P62380,TBPL1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q92530,PSMF1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q13796,SHROOM2,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q13405,MRPL49,2,2,2,NA,NA,NA,NA,NA,NA
Q16822,PCK2,NA,NA,NA,2,2,2,NA,NA,NA
P29083,GTF2E1,NA,NA,NA,NA,NA,NA,NA,NA,NA
P01012,SERPINB14,NA,NA,NA,NA,NA,NA,NA,NA,NA
O94761,RECQL4,3,2,2,NA,NA,NA,2,2,2
O95456,PSMG1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q9H4L7,SMARCAD1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q6UWL6,KIRREL2,NA,NA,NA,NA,NA,NA,NA,NA,NA
P12277,CKB,NA,NA,NA,NA,NA,NA,3,2,2
O75676,RPS6KA4,NA,NA,NA,2,2,2,NA,NA,NA
Q96HQ2,CDKN2AIPNL,5,3,3,4,2,2,5,2,2
Q99986,VRK1,NA,NA,NA,NA,NA,NA,NA,NA,NA
O75391,SPAG7,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q9Y6X9,MORC2,NA,NA,NA,NA,NA,NA,NA,NA,NA
O15084,ANKRD28,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q9BYW2,SETD2,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q8IUF8,RIOX2,NA,NA,NA,2,2,2,3,2,2
Q9UEE9,CFDP1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q15014,MORF4L2,NA,NA,NA,NA,NA,NA,NA,NA,NA
P17706,PTPN2,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q9Y312,AAR2,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q13112,CHAF1B,NA,NA,NA,3,2,2,NA,NA,NA
O43739,CYTH3,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q9NQS7,INCENP,3,2,2,7,4,4,NA,NA,NA
Q96B01,RAD51AP1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q96SI1,KCTD15,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q5TAP6,UTP14C,NA,NA,NA,NA,NA,NA,NA,NA,NA
O43670,ZNF207,5,2,2,2,2,2,5,2,2
Q9UK61,FAM208A,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q96LA8,PRMT6,NA,NA,NA,NA,NA,NA,NA,NA,NA
O43709,BUD23,6,5,5,5,2,2,4,3,3
Q06546,GABPA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q9BRD0,BUD13,NA,NA,NA,NA,NA,NA,NA,NA,NA
P62308,SNRPG,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q9Y324,FCF1,NA,NA,NA,NA,NA,NA,NA,NA,NA
P45973,CBX5,NA,NA,NA,2,2,2,NA,NA,NA
Q9UKL0,RCOR1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q9BW71,HIRIP3,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q96N46,TTC14,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q9NQB0,TCF7L2,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q96FV9,THOC1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q9H2D6,TRIOBP,NA,NA,NA,3,2,2,NA,NA,NA
Q9BT25,HAUS8,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q8NEM0,MCPH1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q12872,SFSWAP,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q8IUH3,RBM45,13,6,6,4,2,2,9,6,6
O75925,PIAS1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q9BU76,MMTAG2,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q5SY16,NOL9,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q96L50,LRR1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q96P16,RPRD1A,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q9UNW9,NOVA2,8,5,5,3,2,2,11,7,7
P51003,PAPOLA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q9H7N4,SCAF1,3,3,3,4,2,2,5,3,3
P62314,SNRPD1,19,6,6,16,5,5,22,6,6
Q9UIS9,MBD1,NA,NA,NA,NA,NA,NA,NA,NA,NA
O14602|P47813,EIF1AY|EIF1AX,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q8TF76,HASPIN,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q9HBI0,PARVG,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q9UPT8,ZC3H4,13,7,7,10,6,6,19,10,10
Q9NZM5,NOP53,4,4,4,7,3,3,NA,NA,NA
Q9H6W3,RIOX1,NA,NA,NA,2,2,2,NA,NA,NA
O96028,NSD2,NA,NA,NA,5,3,3,NA,NA,NA
Q14011,CIRBP,10,5,5,11,5,5,9,5,5
Q6UWW8,CES3,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q6P9B9,INTS5,NA,NA,NA,NA,NA,NA,2,2,2
Q92576,PHF3,3,3,3,2,2,2,8,5,5
Q9UNP9,PPIE,3,2,2,NA,NA,NA,NA,NA,NA
Q14781,CBX2,NA,NA,NA,NA,NA,NA,NA,NA,NA
P42695,NCAPD3,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q9HCJ3,RAVER2,4,3,3,NA,NA,NA,4,3,3
P62306,SNRPF,NA,NA,NA,NA,NA,NA,6,3,3
O43502,RAD51C,NA,NA,NA,NA,NA,NA,NA,NA,NA
P23025,XPA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P63162,SNRPN,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q9GZS1,POLR1E,NA,NA,NA,NA,NA,NA,5,3,3
P14678,SNRPB,17,6,6,14,6,6,19,7,7
Q96BZ8,LENG1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q8N6N3,C1orf52,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q9HCS7,XAB2,15,12,12,5,3,3,3,3,3
Q9BUA3,C11orf84,NA,NA,NA,NA,NA,NA,NA,NA,NA
