"","Sample","time","RT","cell_count","Percentage","sample_order"
"1","GUSU2OS",0,"Early S",215,60.73,"GUSU2OS"
"2","GUSU2OS",0,"Middle S",105,29.66,"GUSU2OS"
"3","GUSU2OS",0,"Late S",34,9.6,"GUSU2OS"
"4","GUSU2OS",4,"Early S",221,54.3,"GUSU2OS"
"5","GUSU2OS",4,"Middle S",151,37.1,"GUSU2OS"
"6","GUSU2OS",4,"Late S",35,8.6,"GUSU2OS"
"7","GUSU2OS",6,"Early S",159,39.45,"GUSU2OS"
"8","GUSU2OS",6,"Middle S",164,40.69,"GUSU2OS"
"9","GUSU2OS",6,"Late S",80,19.85,"GUSU2OS"
"10","GUSU2OS",8,"Early S",48,15.05,"GUSU2OS"
"11","GUSU2OS",8,"Middle S",132,41.38,"GUSU2OS"
"12","GUSU2OS",8,"Late S",139,43.57,"GUSU2OS"
"13","GUSClone110",0,"Early S",177,68.6,"GUSClone110"
"14","GUSClone110",0,"Middle S",38,14.73,"GUSClone110"
"15","GUSClone110",0,"Late S",43,16.67,"GUSClone110"
"16","GUSClone110",4,"Early S",199,62.78,"GUSClone110"
"17","GUSClone110",4,"Middle S",81,25.55,"GUSClone110"
"18","GUSClone110",4,"Late S",37,11.67,"GUSClone110"
"19","GUSClone110",6,"Early S",194,65.99,"GUSClone110"
"20","GUSClone110",6,"Middle S",54,18.37,"GUSClone110"
"21","GUSClone110",6,"Late S",46,15.65,"GUSClone110"
"22","GUSClone110",8,"Early S",150,53.57,"GUSClone110"
"23","GUSClone110",8,"Middle S",48,17.14,"GUSClone110"
"24","GUSClone110",8,"Late S",82,29.29,"GUSClone110"
"25","FUSClone110",0,"Early S",198,56.25,"FUSClone110"
"26","FUSClone110",0,"Middle S",93,26.42,"FUSClone110"
"27","FUSClone110",0,"Late S",61,17.33,"FUSClone110"
"28","FUSClone110",4,"Early S",159,47.18,"FUSClone110"
"29","FUSClone110",4,"Middle S",142,42.14,"FUSClone110"
"30","FUSClone110",4,"Late S",36,10.68,"FUSClone110"
"31","FUSClone110",6,"Early S",109,41.29,"FUSClone110"
"32","FUSClone110",6,"Middle S",103,39.02,"FUSClone110"
"33","FUSClone110",6,"Late S",52,19.7,"FUSClone110"
"34","FUSClone110",8,"Early S",47,17.09,"FUSClone110"
"35","FUSClone110",8,"Middle S",131,47.64,"FUSClone110"
"36","FUSClone110",8,"Late S",97,35.27,"FUSClone110"
