Geneid	C_1	C_2	C_3	F_1	F_2	F_3	W_1	W_2	W_3
ENSG00000223972	1	1	0	0	0	0	0	1	0
ENSG00000227232	88	111	130	95	84	133	121	110	113
ENSG00000278267	10	19	15	3	10	4	11	9	10
ENSG00000243485	1	0	4	5	1	0	2	2	2
ENSG00000284332	0	0	0	0	0	0	0	0	0
ENSG00000237613	0	0	0	0	0	0	0	0	0
ENSG00000268020	0	0	0	0	0	0	0	0	0
ENSG00000240361	0	0	0	0	0	0	0	0	0
ENSG00000186092	0	0	0	0	0	0	0	0	0
ENSG00000238009	0	0	0	0	0	0	1	0	0
ENSG00000239945	0	0	0	0	0	0	0	0	0
ENSG00000233750	0	0	3	1	0	0	1	1	0
ENSG00000268903	2	3	2	0	0	0	1	0	1
ENSG00000269981	0	3	3	0	0	2	0	1	1
ENSG00000239906	0	0	0	0	0	0	0	0	0
ENSG00000241860	6	6	13	2	4	12	9	8	18
ENSG00000222623	0	0	0	0	0	0	0	0	0
ENSG00000241599	0	0	0	0	0	0	0	0	0
ENSG00000279928	9	17	10	3	6	5	11	6	9
ENSG00000279457	158	176	167	134	164	206	192	162	117
ENSG00000273874	0	0	0	0	0	0	0	0	0
ENSG00000228463	29	30	32	25	27	19	25	14	17
ENSG00000236679	0	0	0	0	2	0	1	0	0
ENSG00000236601	0	0	0	0	0	0	0	0	0
ENSG00000237094	25	69	103	60	61	72	105	97	94
ENSG00000269732	0	0	0	0	0	0	0	0	0
ENSG00000284733	0	0	0	0	0	0	0	0	0
ENSG00000233653	0	0	0	1	0	1	0	0	0
ENSG00000250575	3	1	1	2	3	7	8	2	0
ENSG00000278757	0	0	0	0	0	0	0	0	0
ENSG00000230021	3	8	9	3	9	12	13	8	10
ENSG00000235146	0	0	0	0	0	0	0	0	0
ENSG00000225972	5	3	1	9	6	4	3	3	0
ENSG00000225630	33	47	39	49	50	38	61	38	44
ENSG00000237973	1750	2333	1961	2144	2268	2360	2512	2184	1976
ENSG00000278791	0	0	0	0	0	0	0	0	0
ENSG00000229344	5	3	5	3	2	7	5	4	3
ENSG00000240409	0	0	0	0	0	0	2	0	0
ENSG00000248527	3894	4455	2739	3329	3821	3841	4176	3641	3158
ENSG00000198744	6	3	2	2	4	2	2	2	1
ENSG00000268663	0	0	0	0	0	0	0	0	0
ENSG00000284662	0	0	0	0	0	0	0	0	0
ENSG00000229376	5	8	6	11	8	3	11	6	8
ENSG00000228327	61	152	147	131	148	141	175	128	164
ENSG00000223181	0	0	0	0	1	0	0	0	0
ENSG00000229905	0	0	0	0	0	0	1	0	0
ENSG00000237491	6	16	30	18	30	27	47	39	25
ENSG00000285268	0	0	0	0	0	0	0	0	0
ENSG00000230092	4	5	3	1	11	4	2	7	3
ENSG00000177757	0	2	1	2	4	2	4	3	5
ENSG00000228794	164	307	259	303	297	162	486	318	220
ENSG00000225880	16	10	10	11	9	22	23	14	20
ENSG00000230368	0	0	0	0	0	1	0	0	0
ENSG00000234711	0	0	0	0	1	0	2	0	1
ENSG00000283040	0	0	0	0	0	0	0	0	0
ENSG00000272438	14	20	14	24	25	26	13	18	17
ENSG00000230699	24	59	74	68	136	141	56	79	63
ENSG00000241180	2	5	1	6	2	3	2	4	2
ENSG00000223764	258	451	236	205	409	482	199	191	182
ENSG00000187634	1466	2318	958	1195	2156	1858	1364	1455	931
ENSG00000188976	2533	2758	2183	2937	2215	1988	5064	3247	2626
ENSG00000187961	316	463	573	364	475	686	698	676	585
ENSG00000187583	44	94	100	50	64	85	51	39	76
ENSG00000187642	37	40	35	26	34	33	19	21	31
ENSG00000272512	0	0	0	0	0	0	0	0	0
ENSG00000188290	1	0	0	1	1	0	0	0	0
ENSG00000187608	414	347	193	333	320	267	377	277	243
ENSG00000231702	0	0	0	0	0	0	0	0	0
ENSG00000224969	0	0	0	0	0	0	0	0	0
ENSG00000188157	8945	16264	13959	19095	21407	21013	23191	19978	18426
ENSG00000242590	0	0	0	0	0	0	0	0	0
ENSG00000217801	51	79	72	51	52	115	79	50	80
ENSG00000273443	7	1	6	4	3	8	3	1	4
ENSG00000237330	0	1	0	0	0	0	0	0	1
ENSG00000131591	426	498	352	505	505	460	712	496	398
ENSG00000285812	7	18	15	10	7	15	16	9	13
ENSG00000223823	0	0	0	0	0	0	0	0	0
ENSG00000207730	0	1	0	0	0	0	0	0	0
ENSG00000207607	0	0	0	0	0	0	0	0	0
ENSG00000198976	0	0	0	0	0	0	0	0	0
ENSG00000272141	0	0	0	0	0	0	0	0	0
ENSG00000205231	0	0	0	0	0	0	0	0	0
ENSG00000162571	0	0	1	0	1	1	0	0	1
ENSG00000186891	4	1	5	1	7	5	1	4	2
ENSG00000186827	8	4	2	7	18	8	7	9	11
ENSG00000078808	3528	3535	2655	4006	3952	3789	5513	3861	3268
ENSG00000176022	279	270	119	246	175	143	501	300	171
ENSG00000184163	51	33	29	31	37	28	91	93	34
ENSG00000260179	9	10	2	4	7	9	13	10	8
ENSG00000160087	1115	1333	953	1094	1111	856	2102	1513	1060
ENSG00000230415	2	7	6	0	9	10	10	8	10
ENSG00000162572	27	30	37	24	46	58	73	70	61
ENSG00000131584	789	882	645	1000	993	885	1143	854	667
ENSG00000278073	0	0	0	0	0	0	0	0	0
ENSG00000169972	290	251	191	230	203	202	395	290	245
ENSG00000127054	1632	1876	1569	1577	1626	1557	2363	1778	1575
ENSG00000283712	0	0	0	0	0	0	0	0	0
ENSG00000240731	35	61	46	48	33	47	66	50	40
ENSG00000224051	511	463	343	364	326	398	549	331	360
ENSG00000169962	4	8	5	15	11	7	12	14	4
ENSG00000107404	2476	2602	2428	2484	2109	2330	3972	2738	2425
ENSG00000284372	0	0	0	0	0	0	0	0	0
ENSG00000162576	1875	2226	1324	2519	2664	2062	3606	2828	2018
ENSG00000175756	2705	2113	1509	2083	1845	1610	3302	2072	1834
ENSG00000223663	3	1	1	0	0	0	0	3	0
ENSG00000221978	1271	2818	2410	1618	2189	2327	2606	2267	1877
ENSG00000224870	352	328	326	307	298	338	540	303	316
ENSG00000242485	1231	1046	748	988	819	691	1723	1018	861
ENSG00000264293	0	0	0	0	0	0	0	0	0
ENSG00000272455	42	54	41	46	52	60	107	68	41
ENSG00000235098	3	0	0	0	2	0	4	1	0
ENSG00000225905	1	0	0	0	0	0	0	0	0
ENSG00000205116	0	0	0	0	0	0	0	0	0
ENSG00000225285	1	2	1	0	0	0	0	0	3
ENSG00000179403	21	16	11	2	4	0	23	20	29
ENSG00000215915	0	2	0	0	0	0	1	0	0
ENSG00000160072	692	706	498	754	657	566	1537	1072	613
ENSG00000284740	10	8	3	3	14	7	11	5	4
ENSG00000197785	1576	1414	987	1500	1191	979	2210	1505	1101
ENSG00000205090	55	78	97	142	140	189	114	100	116
ENSG00000160075	2489	2184	1697	1969	1817	1628	3237	2177	1714
ENSG00000215014	7	4	7	4	2	5	2	3	4
ENSG00000274481	0	0	0	0	0	0	0	0	0
ENSG00000228594	264	248	173	386	375	391	370	242	274
ENSG00000272106	54	54	39	72	43	65	122	85	84
ENSG00000197530	729	918	614	545	571	732	735	802	606
ENSG00000189409	1	2	0	6	11	6	8	2	1
ENSG00000248333	798	867	756	770	838	783	1375	944	837
ENSG00000272004	2	7	0	3	2	0	1	3	3
ENSG00000189339	466	856	762	901	1047	1171	921	627	751
ENSG00000269737	7	12	17	26	22	27	15	10	12
ENSG00000215914	0	0	0	0	2	0	1	1	3
ENSG00000008128	20	28	33	18	24	26	41	25	31
ENSG00000268575	38	40	50	57	37	62	30	13	36
ENSG00000227775	2	10	4	18	14	18	13	5	13
ENSG00000215790	125	238	202	238	277	375	205	166	186
ENSG00000008130	830	871	834	1035	860	886	1648	1057	996
ENSG00000078369	5218	6209	5131	6279	6484	6020	10392	6963	6530
ENSG00000231050	4	3	11	14	3	3	7	5	8
ENSG00000169885	6	8	4	3	0	0	1	1	1
ENSG00000178821	44	54	28	52	45	39	85	67	51
ENSG00000142609	16	10	14	32	14	10	8	10	4
ENSG00000233542	0	2	1	4	0	4	0	1	0
ENSG00000187730	12	9	13	26	25	24	27	13	16
ENSG00000226969	0	2	2	0	0	3	0	0	0
ENSG00000067606	634	835	552	526	684	620	783	610	493
ENSG00000271806	0	5	0	0	4	4	3	2	6
ENSG00000182873	45	64	49	80	124	92	115	96	69
ENSG00000162585	1409	1289	936	1289	1191	1205	1744	1344	1119
ENSG00000234396	0	1	1	0	0	2	1	0	0
ENSG00000157933	657	1673	1110	1577	1784	1392	2422	1975	1430
ENSG00000116151	195	226	183	227	195	189	319	231	213
ENSG00000272161	1	1	3	2	0	1	3	2	0
ENSG00000269896	39	59	37	28	50	32	79	36	42
ENSG00000272420	1	6	1	3	3	3	5	4	1
ENSG00000157916	1154	1278	1014	1527	1450	1336	2264	1511	1215
ENSG00000157911	169	159	133	177	153	145	299	202	185
ENSG00000149527	4	6	8	1	13	4	3	4	1
ENSG00000224387	0	0	0	0	0	0	0	0	0
ENSG00000229393	0	0	1	0	0	1	0	0	0
ENSG00000157881	227	350	374	301	358	432	443	366	447
ENSG00000197921	0	0	0	0	0	0	1	0	0
ENSG00000272449	16	9	6	12	12	15	14	14	11
ENSG00000238164	1	2	1	0	0	0	0	1	2
ENSG00000157873	64	92	114	60	87	122	19	35	29
ENSG00000225931	1	1	1	1	2	3	0	0	1
ENSG00000228037	1	2	2	0	0	2	2	1	0
ENSG00000157870	825	1013	809	1045	1021	921	1333	862	807
ENSG00000142606	3	4	5	3	1	1	1	0	1
ENSG00000237058	0	0	0	0	0	1	0	0	0
ENSG00000215912	2	4	10	4	7	8	13	7	7
ENSG00000285945	0	0	0	0	0	0	0	0	0
ENSG00000283259	0	0	0	0	0	0	0	0	0
ENSG00000233234	0	0	0	0	0	0	0	0	0
ENSG00000231630	0	1	1	1	3	0	0	0	0
ENSG00000284745	0	0	0	0	0	0	0	0	0
ENSG00000169717	0	0	0	0	0	0	0	0	0
ENSG00000177133	1	5	9	21	40	43	7	3	12
ENSG00000142611	33	45	48	158	192	231	43	66	44
ENSG00000283572	0	0	0	0	0	0	0	0	0
ENSG00000226286	0	0	0	2	1	0	0	0	0
ENSG00000279839	1	0	0	0	0	0	0	0	0
ENSG00000272235	6	12	1	20	16	18	21	14	4
ENSG00000130762	189	201	168	281	299	255	147	125	100
ENSG00000272088	0	1	0	0	2	0	0	0	1
ENSG00000162591	67	187	206	232	314	406	290	303	417
ENSG00000207776	0	0	0	1	0	0	1	0	1
ENSG00000238260	0	1	9	3	5	14	3	1	8
ENSG00000158109	336	405	312	313	323	310	492	297	297
ENSG00000116213	371	491	483	460	501	521	746	572	483
ENSG00000078900	281	330	295	504	480	357	621	425	324
ENSG00000227589	0	2	1	2	0	0	1	3	2
ENSG00000235131	0	1	2	0	1	0	4	1	3
ENSG00000227372	240	482	412	391	418	466	588	427	364
ENSG00000276189	0	0	0	0	0	0	0	0	0
ENSG00000162592	0	5	2	0	2	2	4	0	5
ENSG00000235169	62	63	65	47	41	72	35	34	25
ENSG00000130764	651	852	602	795	648	626	1218	823	685
ENSG00000266075	4	3	0	5	7	6	0	2	0
ENSG00000272153	14	19	12	24	13	8	18	16	12
ENSG00000116198	329	582	443	534	611	474	748	545	447
ENSG00000169598	73	121	108	127	125	138	191	111	127
ENSG00000198912	505	579	507	587	580	569	812	594	564
ENSG00000236423	55	61	87	38	46	65	35	38	38
ENSG00000233304	2	1	2	3	0	0	2	4	2
ENSG00000226374	5	1	7	2	6	1	5	17	10
ENSG00000284668	624	786	616	611	591	551	801	435	512
ENSG00000284703	30	80	64	97	81	52	117	81	53
ENSG00000229280	0	0	0	0	0	0	0	0	0
ENSG00000235054	0	1	3	0	0	1	0	0	0
ENSG00000284694	0	0	0	2	0	0	0	0	0
ENSG00000227169	0	0	0	0	0	0	0	0	0
ENSG00000232596	0	0	0	0	0	0	0	0	0
ENSG00000196581	0	1	0	0	0	1	0	0	0
ENSG00000284739	0	0	0	0	0	0	0	0	0
ENSG00000284674	0	0	0	0	0	0	0	0	0
ENSG00000231510	0	0	0	0	0	0	0	0	0
ENSG00000284616	0	0	0	0	0	0	0	0	0
ENSG00000284692	0	0	0	0	0	0	0	0	0
ENSG00000284666	0	0	0	0	0	0	0	0	0
ENSG00000260972	0	0	0	0	0	0	0	0	0
ENSG00000283356	0	0	0	0	0	0	0	0	0
ENSG00000236948	0	1	0	0	0	0	2	0	0
ENSG00000264341	0	0	0	0	0	1	0	0	0
ENSG00000264101	0	0	0	0	0	0	0	0	0
ENSG00000131697	232	446	429	403	452	438	524	420	391
ENSG00000069424	629	947	807	1158	1108	945	1013	776	757
ENSG00000116254	481	794	657	685	802	840	2323	1605	1334
ENSG00000285629	0	0	0	0	1	0	0	2	0
ENSG00000116251	1090	1161	941	939	934	1028	1455	894	861
ENSG00000226944	1	4	0	0	1	1	3	1	0
ENSG00000158286	176	390	338	239	273	372	212	191	160
ENSG00000116237	1335	1527	1260	1989	1959	1790	3225	1821	1823
ENSG00000225077	22	28	7	34	25	16	44	13	20
ENSG00000173673	0	0	0	0	0	0	0	0	0
ENSG00000158292	305	491	404	264	388	368	478	455	452
ENSG00000097021	1143	948	831	1997	1710	1710	2570	1620	1566
ENSG00000271746	0	0	0	0	0	0	0	0	0
ENSG00000069812	0	0	0	1	2	1	3	0	0
ENSG00000187017	5	4	5	8	15	6	8	3	13
ENSG00000265392	0	0	0	0	0	0	0	0	0
ENSG00000231868	0	0	0	0	0	0	1	0	0
ENSG00000215788	75	146	128	127	167	239	141	130	129
ENSG00000171680	307	557	523	338	515	591	380	370	394
ENSG00000162408	928	1473	906	1336	1289	883	1980	1367	984
ENSG00000253022	0	1	0	1	1	1	1	0	0
ENSG00000229519	6	5	15	4	11	7	11	6	5
